1, 'John Dorian', 'Staff Internist', 111111111, 1, 'General Medicine', 4, 1, 100000001, 'John Smith', '42 Foobar Lane', '555-0256', 68476213, 1
1, 'John Dorian', 'Staff Internist', 111111111, 1, 'General Medicine', 4, 1, 100000002, 'Grace Ritchie', '37 Snafu Drive', '555-0512', 36546321, 2
1, 'John Dorian', 'Staff Internist', 111111111, 1, 'General Medicine', 4, 1, 100000003, 'Random J. Patient', '101 Omgbbq Street', '555-1204', 65465421, 2
1, 'John Dorian', 'Staff Internist', 111111111, 1, 'General Medicine', 4, 1, 100000004, 'Dennis Doe', '1100 Foobaz Avenue', '555-2048', 68421879, 3
2, 'Elliot Reid', 'Attending Physician', 222222222, 1, 'General Medicine', 4, 1, 100000001, 'John Smith', '42 Foobar Lane', '555-0256', 68476213, 1
2, 'Elliot Reid', 'Attending Physician', 222222222, 1, 'General Medicine', 4, 1, 100000002, 'Grace Ritchie', '37 Snafu Drive', '555-0512', 36546321, 2
2, 'Elliot Reid', 'Attending Physician', 222222222, 1, 'General Medicine', 4, 1, 100000003, 'Random J. Patient', '101 Omgbbq Street', '555-1204', 65465421, 2
2, 'Elliot Reid', 'Attending Physician', 222222222, 1, 'General Medicine', 4, 1, 100000004, 'Dennis Doe', '1100 Foobaz Avenue', '555-2048', 68421879, 3
3, 'Christopher Turk', 'Surgical Attending Physician', 333333333, 1, 'General Medicine', 4, 0, 100000001, 'John Smith', '42 Foobar Lane', '555-0256', 68476213, 1
3, 'Christopher Turk', 'Surgical Attending Physician', 333333333, 1, 'General Medicine', 4, 0, 100000002, 'Grace Ritchie', '37 Snafu Drive', '555-0512', 36546321, 2
3, 'Christopher Turk', 'Surgical Attending Physician', 333333333, 1, 'General Medicine', 4, 0, 100000003, 'Random J. Patient', '101 Omgbbq Street', '555-1204', 65465421, 2
3, 'Christopher Turk', 'Surgical Attending Physician', 333333333, 1, 'General Medicine', 4, 0, 100000004, 'Dennis Doe', '1100 Foobaz Avenue', '555-2048', 68421879, 3
3, 'Christopher Turk', 'Surgical Attending Physician', 333333333, 2, 'Surgery', 7, 1, 100000001, 'John Smith', '42 Foobar Lane', '555-0256', 68476213, 1
3, 'Christopher Turk', 'Surgical Attending Physician', 333333333, 2, 'Surgery', 7, 1, 100000002, 'Grace Ritchie', '37 Snafu Drive', '555-0512', 36546321, 2
3, 'Christopher Turk', 'Surgical Attending Physician', 333333333, 2, 'Surgery', 7, 1, 100000003, 'Random J. Patient', '101 Omgbbq Street', '555-1204', 65465421, 2
3, 'Christopher Turk', 'Surgical Attending Physician', 333333333, 2, 'Surgery', 7, 1, 100000004, 'Dennis Doe', '1100 Foobaz Avenue', '555-2048', 68421879, 3
4, 'Percival Cox', 'Senior Attending Physician', 444444444, 1, 'General Medicine', 4, 1, 100000001, 'John Smith', '42 Foobar Lane', '555-0256', 68476213, 1
4, 'Percival Cox', 'Senior Attending Physician', 444444444, 1, 'General Medicine', 4, 1, 100000002, 'Grace Ritchie', '37 Snafu Drive', '555-0512', 36546321, 2
4, 'Percival Cox', 'Senior Attending Physician', 444444444, 1, 'General Medicine', 4, 1, 100000003, 'Random J. Patient', '101 Omgbbq Street', '555-1204', 65465421, 2
4, 'Percival Cox', 'Senior Attending Physician', 444444444, 1, 'General Medicine', 4, 1, 100000004, 'Dennis Doe', '1100 Foobaz Avenue', '555-2048', 68421879, 3
5, 'Bob Kelso', 'Head Chief of Medicine', 555555555, 1, 'General Medicine', 4, 1, 100000001, 'John Smith', '42 Foobar Lane', '555-0256', 68476213, 1
5, 'Bob Kelso', 'Head Chief of Medicine', 555555555, 1, 'General Medicine', 4, 1, 100000002, 'Grace Ritchie', '37 Snafu Drive', '555-0512', 36546321, 2
5, 'Bob Kelso', 'Head Chief of Medicine', 555555555, 1, 'General Medicine', 4, 1, 100000003, 'Random J. Patient', '101 Omgbbq Street', '555-1204', 65465421, 2
5, 'Bob Kelso', 'Head Chief of Medicine', 555555555, 1, 'General Medicine', 4, 1, 100000004, 'Dennis Doe', '1100 Foobaz Avenue', '555-2048', 68421879, 3
6, 'Todd Quinlan', 'Surgical Attending Physician', 666666666, 2, 'Surgery', 7, 1, 100000001, 'John Smith', '42 Foobar Lane', '555-0256', 68476213, 1
6, 'Todd Quinlan', 'Surgical Attending Physician', 666666666, 2, 'Surgery', 7, 1, 100000002, 'Grace Ritchie', '37 Snafu Drive', '555-0512', 36546321, 2
6, 'Todd Quinlan', 'Surgical Attending Physician', 666666666, 2, 'Surgery', 7, 1, 100000003, 'Random J. Patient', '101 Omgbbq Street', '555-1204', 65465421, 2
6, 'Todd Quinlan', 'Surgical Attending Physician', 666666666, 2, 'Surgery', 7, 1, 100000004, 'Dennis Doe', '1100 Foobaz Avenue', '555-2048', 68421879, 3
7, 'John Wen', 'Surgical Attending Physician', 777777777, 1, 'General Medicine', 4, 0, 100000001, 'John Smith', '42 Foobar Lane', '555-0256', 68476213, 1
7, 'John Wen', 'Surgical Attending Physician', 777777777, 1, 'General Medicine', 4, 0, 100000002, 'Grace Ritchie', '37 Snafu Drive', '555-0512', 36546321, 2
7, 'John Wen', 'Surgical Attending Physician', 777777777, 1, 'General Medicine', 4, 0, 100000003, 'Random J. Patient', '101 Omgbbq Street', '555-1204', 65465421, 2
7, 'John Wen', 'Surgical Attending Physician', 777777777, 1, 'General Medicine', 4, 0, 100000004, 'Dennis Doe', '1100 Foobaz Avenue', '555-2048', 68421879, 3
7, 'John Wen', 'Surgical Attending Physician', 777777777, 2, 'Surgery', 7, 1, 100000001, 'John Smith', '42 Foobar Lane', '555-0256', 68476213, 1
7, 'John Wen', 'Surgical Attending Physician', 777777777, 2, 'Surgery', 7, 1, 100000002, 'Grace Ritchie', '37 Snafu Drive', '555-0512', 36546321, 2
7, 'John Wen', 'Surgical Attending Physician', 777777777, 2, 'Surgery', 7, 1, 100000003, 'Random J. Patient', '101 Omgbbq Street', '555-1204', 65465421, 2
7, 'John Wen', 'Surgical Attending Physician', 777777777, 2, 'Surgery', 7, 1, 100000004, 'Dennis Doe', '1100 Foobaz Avenue', '555-2048', 68421879, 3
8, 'Keith Dudemeister', 'MD Resident', 888888888, 1, 'General Medicine', 4, 1, 100000001, 'John Smith', '42 Foobar Lane', '555-0256', 68476213, 1
8, 'Keith Dudemeister', 'MD Resident', 888888888, 1, 'General Medicine', 4, 1, 100000002, 'Grace Ritchie', '37 Snafu Drive', '555-0512', 36546321, 2
8, 'Keith Dudemeister', 'MD Resident', 888888888, 1, 'General Medicine', 4, 1, 100000003, 'Random J. Patient', '101 Omgbbq Street', '555-1204', 65465421, 2
8, 'Keith Dudemeister', 'MD Resident', 888888888, 1, 'General Medicine', 4, 1, 100000004, 'Dennis Doe', '1100 Foobaz Avenue', '555-2048', 68421879, 3
9, 'Molly Clock', 'Attending Psychiatrist', 999999999, 3, 'Psychiatry', 9, 1, 100000001, 'John Smith', '42 Foobar Lane', '555-0256', 68476213, 1
9, 'Molly Clock', 'Attending Psychiatrist', 999999999, 3, 'Psychiatry', 9, 1, 100000002, 'Grace Ritchie', '37 Snafu Drive', '555-0512', 36546321, 2
9, 'Molly Clock', 'Attending Psychiatrist', 999999999, 3, 'Psychiatry', 9, 1, 100000003, 'Random J. Patient', '101 Omgbbq Street', '555-1204', 65465421, 2
9, 'Molly Clock', 'Attending Psychiatrist', 999999999, 3, 'Psychiatry', 9, 1, 100000004, 'Dennis Doe', '1100 Foobaz Avenue', '555-2048', 68421879, 3
